center,left,right,steering,throttle,brake,speed
/home/yipstar/sdc/projects/simulator/joystick_data2/IMG/center_2017_01_26_19_54_09_945.jpg, /home/yipstar/sdc/projects/simulator/joystick_data2/IMG/left_2017_01_26_19_54_09_945.jpg, /home/yipstar/sdc/projects/simulator/joystick_data2/IMG/right_2017_01_26_19_54_09_945.jpg, 0, 0, 0, 5.263151
/home/yipstar/sdc/projects/simulator/joystick_data2/IMG/center_2017_01_26_19_54_10_047.jpg, /home/yipstar/sdc/projects/simulator/joystick_data2/IMG/left_2017_01_26_19_54_10_047.jpg, /home/yipstar/sdc/projects/simulator/joystick_data2/IMG/right_2017_01_26_19_54_10_047.jpg, 0, 0, 0, 5.210331
/home/yipstar/sdc/projects/simulator/joystick_data2/IMG/center_2017_01_26_19_54_10_171.jpg, /home/yipstar/sdc/projects/simulator/joystick_data2/IMG/left_2017_01_26_19_54_10_171.jpg, /home/yipstar/sdc/projects/simulator/joystick_data2/IMG/right_2017_01_26_19_54_10_171.jpg, 0, 0, 0, 5.147646
/home/yipstar/sdc/projects/simulator/joystick_data2/IMG/center_2017_01_26_19_54_10_273.jpg, /home/yipstar/sdc/projects/simulator/joystick_data2/IMG/left_2017_01_26_19_54_10_273.jpg, /home/yipstar/sdc/projects/simulator/joystick_data2/IMG/right_2017_01_26_19_54_10_273.jpg, 0, 0, 0, 5.095986
/home/yipstar/sdc/projects/simulator/joystick_data2/IMG/center_2017_01_26_19_54_10_397.jpg, /home/yipstar/sdc/projects/simulator/joystick_data2/IMG/left_2017_01_26_19_54_10_397.jpg, /home/yipstar/sdc/projects/simulator/joystick_data2/IMG/right_2017_01_26_19_54_10_397.jpg, 0, 0, 0, 5.02453
/home/yipstar/sdc/projects/simulator/joystick_data2/IMG/center_2017_01_26_19_54_10_526.jpg, /home/yipstar/sdc/projects/simulator/joystick_data2/IMG/left_2017_01_26_19_54_10_526.jpg, /home/yipstar/sdc/projects/simulator/joystick_data2/IMG/right_2017_01_26_19_54_10_526.jpg, 0, 0, 0, 4.964082
/home/yipstar/sdc/projects/simulator/joystick_data2/IMG/center_2017_01_26_19_54_10_626.jpg, /home/yipstar/sdc/projects/simulator/joystick_data2/IMG/left_2017_01_26_19_54_10_626.jpg, /home/yipstar/sdc/projects/simulator/joystick_data2/IMG/right_2017_01_26_19_54_10_626.jpg, 0, 0, 0, 4.914266
/home/yipstar/sdc/projects/simulator/joystick_data2/IMG/center_2017_01_26_19_54_10_731.jpg, /home/yipstar/sdc/projects/simulator/joystick_data2/IMG/left_2017_01_26_19_54_10_731.jpg, /home/yipstar/sdc/projects/simulator/joystick_data2/IMG/right_2017_01_26_19_54_10_731.jpg, 0, 0, 0, 4.864948
/home/yipstar/sdc/projects/simulator/joystick_data2/IMG/center_2017_01_26_19_54_10_839.jpg, /home/yipstar/sdc/projects/simulator/joystick_data2/IMG/left_2017_01_26_19_54_10_839.jpg, /home/yipstar/sdc/projects/simulator/joystick_data2/IMG/right_2017_01_26_19_54_10_839.jpg, 0, 0, 0, 4.80642
/home/yipstar/sdc/projects/simulator/joystick_data2/IMG/center_2017_01_26_19_54_10_944.jpg, /home/yipstar/sdc/projects/simulator/joystick_data2/IMG/left_2017_01_26_19_54_10_944.jpg, /home/yipstar/sdc/projects/simulator/joystick_data2/IMG/right_2017_01_26_19_54_10_944.jpg, 0, 0, 0, 4.758185
/home/yipstar/sdc/projects/simulator/joystick_data2/IMG/center_2017_01_26_19_54_11_044.jpg, /home/yipstar/sdc/projects/simulator/joystick_data2/IMG/left_2017_01_26_19_54_11_044.jpg, /home/yipstar/sdc/projects/simulator/joystick_data2/IMG/right_2017_01_26_19_54_11_044.jpg, 0, 0, 0, 4.710481
/home/yipstar/sdc/projects/simulator/joystick_data2/IMG/center_2017_01_26_19_54_11_150.jpg, /home/yipstar/sdc/projects/simulator/joystick_data2/IMG/left_2017_01_26_19_54_11_150.jpg, /home/yipstar/sdc/projects/simulator/joystick_data2/IMG/right_2017_01_26_19_54_11_150.jpg, 0, 0, 0, 4.663208
/home/yipstar/sdc/projects/simulator/joystick_data2/IMG/center_2017_01_26_19_54_12_737.jpg, /home/yipstar/sdc/projects/simulator/joystick_data2/IMG/left_2017_01_26_19_54_12_737.jpg, /home/yipstar/sdc/projects/simulator/joystick_data2/IMG/right_2017_01_26_19_54_12_737.jpg, 0, 0, 0, 3.968281
/home/yipstar/sdc/projects/simulator/joystick_data2/IMG/center_2017_01_26_19_54_12_869.jpg, /home/yipstar/sdc/projects/simulator/joystick_data2/IMG/left_2017_01_26_19_54_12_869.jpg, /home/yipstar/sdc/projects/simulator/joystick_data2/IMG/right_2017_01_26_19_54_12_869.jpg, 0, 0, 0, 3.920542
/home/yipstar/sdc/projects/simulator/joystick_data2/IMG/center_2017_01_26_19_54_12_974.jpg, /home/yipstar/sdc/projects/simulator/joystick_data2/IMG/left_2017_01_26_19_54_12_974.jpg, /home/yipstar/sdc/projects/simulator/joystick_data2/IMG/right_2017_01_26_19_54_12_974.jpg, 0, 0, 0, 3.881197
/home/yipstar/sdc/projects/simulator/joystick_data2/IMG/center_2017_01_26_19_54_13_102.jpg, /home/yipstar/sdc/projects/simulator/joystick_data2/IMG/left_2017_01_26_19_54_13_102.jpg, /home/yipstar/sdc/projects/simulator/joystick_data2/IMG/right_2017_01_26_19_54_13_102.jpg, 0, 0, 0, 3.826777
/home/yipstar/sdc/projects/simulator/joystick_data2/IMG/center_2017_01_26_19_54_13_207.jpg, /home/yipstar/sdc/projects/simulator/joystick_data2/IMG/left_2017_01_26_19_54_13_207.jpg, /home/yipstar/sdc/projects/simulator/joystick_data2/IMG/right_2017_01_26_19_54_13_207.jpg, 0, 0, 0, 3.788375
